Dataset,PDP_Peak_Memory_MB,SPDP_Peak_Memory_MB,PDPTime,SPDPTime
Robot,111.72240161895752,125.69567966461182,46.76517724990845,6.653932809829712
Robotv2,111.73135280609131,125.70111656188965,53.434136629104614,5.372666120529175
Robotv3,111.72947406768799,125.69827938079834,37.28838515281677,5.424710988998413
RobotDouble,220.80182933807373,242.50035572052002,77.4436366558075,11.500940084457397
RobotDoublev2,220.80345344543457,242.49657535552979,99.79425263404846,12.22041630744934
RobotDoublev3,220.80255794525146,242.49857234954834,87.93774342536926,14.23405647277832
UAV,61.94127368927002,78.5310230255127,61.71248722076416,3.8551149368286133
UAVv2,63.161020278930664,78.49837493896484,56.72012758255005,3.529193162918091
UAVv3,63.39929485321045,78.53251075744629,40.57382321357727,3.572601556777954
UAVDouble,136.5557165145874,154.45311164855957,138.53768301010132,9.029407262802124
UAVDoublev2,130.97920989990234,154.40468788146973,141.94152808189392,7.613926887512207
UAVDoublev3,128.02055549621582,154.497633934021,84.59557318687439,7.257664203643799
Drive,41.478678703308105,37.964131355285645,6.261796236038208,1.7481391429901123
Drivev2,41.56928730010986,37.96497917175293,4.814119577407837,1.5045673847198486
Drivev3,41.47675895690918,37.96455097198486,4.83837103843689,1.2075748443603516
DriveDouble,61.20876598358154,67.27457618713379,13.577900648117065,4.545562028884888
DriveDoublev2,61.04261016845703,67.27724266052246,10.61799430847168,2.626133918762207
DriveDoublev3,61.03815460205078,67.27506732940674,10.027700662612915,3.0804970264434814




