Dataset,PDP_Time,SPDP_Time
Robot,21.88247036933899,5.8445820808410645
Robot,22.892168521881104,5.15211033821106
Robot,20.632431983947754,5.343340873718262
Robot,25.881174325942993,4.568224668502808
Robot,25.72482657432556,5.443414688110352
Robot,22.717119455337524,7.688567161560059
Robot,23.53644561767578,4.361651659011841
Robot,28.342445373535156,7.078201055526733
Robot,25.37770438194275,4.648321151733398
Robot,21.253100633621216,5.011296033859253
Robot,23.549474477767944,4.94792103767395
Robot,25.09445881843567,4.991653919219971
Robot,22.591694831848145,8.16378140449524
Robot,26.802562952041626,5.355454683303833
Robot,20.978926181793213,5.9290642738342285
Robot,20.946035861968994,4.930410861968994
Robot,21.25394344329834,7.7383856773376465
Robot,25.969568252563477,4.850785970687866
Robot,19.84005618095398,6.5198211669921875
Robot,22.240211725234985,5.126850843429565
RobotDouble,48.13203763961792,8.859066009521484
RobotDouble,42.41186785697937,9.226731538772583
RobotDouble,41.81359601020813,9.895780086517334
RobotDouble,41.12985372543335,9.023191928863525
RobotDouble,52.55193519592285,11.503970623016357
RobotDouble,45.22040367126465,11.644102334976196
RobotDouble,53.25095582008362,10.322777271270752
RobotDouble,51.55192565917969,12.41294550895691
RobotDouble,49.323527097702026,14.363022089004517
RobotDouble,52.76776909828186,11.962110757827759
RobotDouble,46.1639347076416,11.997758388519287
RobotDouble,52.799367904663086,12.10076904296875
RobotDouble,53.47732090950012,12.407957553863525
RobotDouble,44.745590925216675,14.485238313674927
RobotDouble,50.08521056175232,6.903957366943359
RobotDouble,50.996421575546265,13.29759693145752
RobotDouble,51.32413387298584,14.12074327468872
RobotDouble,43.16382813453674,9.736610174179077
RobotDouble,47.554306507110596,14.309906959533691
RobotDouble,46.589709758758545,8.574963331222534
UAV,31.20478916168213,2.866375207901001
UAV,32.2056028842926,3.1413521766662598
UAV,32.58075475692749,4.674480438232422
UAV,33.485063314437866,3.273843765258789
UAV,33.77980136871338,4.1165361404418945
UAV,35.5564079284668,3.516857624053955
UAV,33.57622027397156,2.8445403575897217
UAV,37.036617279052734,4.262519121170044
UAV,37.48519444465637,2.884962797164917
UAV,38.74787473678589,3.1423966884613037
UAV,36.954821825027466,3.408818006515503
UAV,36.02223491668701,2.1418800354003906
UAV,35.79461979866028,3.738246440887451
UAV,34.7556529045105,3.857757091522217
UAV,35.851197481155396,3.8123345375061035
UAV,35.90018963813782,3.9670650959014893
UAV,39.46727776527405,2.1711411476135254
UAV,35.43087935447693,4.045945167541504
UAV,38.72819137573242,4.136552333831787
UAV,36.05980134010315,2.0254647731781006
UAVDouble,70.89954972267151,5.62797737121582
UAVDouble,73.369553565979,6.812685966491699
UAVDouble,76.33129906654358,6.211212158203125
UAVDouble,73.25417852401733,6.542677402496338
UAVDouble,79.57223200798035,7.41962742805481
UAVDouble,81.47720241546631,5.488885402679443
UAVDouble,86.21983933448792,8.945127725601196
UAVDouble,79.8036732673645,6.50389838218689
UAVDouble,82.7454605102539,7.4449872970581055
UAVDouble,86.21607804298401,7.761916399002075
UAVDouble,86.03716516494751,8.38194727897644
UAVDouble,79.07681965827942,6.915353775024414
UAVDouble,87.29643559455872,7.341273307800293
UAVDouble,76.7252185344696,7.416724443435669
UAVDouble,79.34449529647827,7.830324172973633
UAVDouble,87.83144283294678,9.214908838272095
UAVDouble,82.20123028755188,4.3604278564453125
UAVDouble,81.33038926124573,8.675418615341187
UAVDouble,76.54977250099182,10.723299503326416
UAVDouble,81.31322646141052,8.983790159225464
Drive,2.506760358810425,0.8200409412384033
Drive,2.7774782180786133,0.8323173522949219
Drive,2.580822229385376,0.8906786441802979
Drive,2.489075183868408,0.9418959617614746
Drive,2.511873483657837,0.8126049041748047
Drive,2.769364833831787,0.825000524520874
Drive,2.591503381729126,0.9631247520446777
Drive,2.7178359031677246,0.9337620735168457
Drive,2.662606716156006,0.956317663192749
Drive,2.638174057006836,0.930140495300293
Drive,2.695948839187622,0.9590084552764893
Drive,3.688650369644165,1.0885536670684814
Drive,2.791870594024658,1.0634663105010986
Drive,2.249046564102173,1.1751141548156738
Drive,4.312617778778076,0.614964485168457
Drive,2.8619062900543213,1.215806484222412
Drive,2.3467726707458496,1.388925313949585
Drive,2.5774824619293213,1.2780003547668457
Drive,2.257596731185913,1.3011598587036133
Drive,2.234463930130005,1.3313841819763184
DriveDouble,5.943068981170654,1.6685738563537598
DriveDouble,6.8597235679626465,2.2079665660858154
DriveDouble,6.725891351699829,2.2336437702178955
DriveDouble,6.250105619430542,2.1477420330047607
DriveDouble,6.961625576019287,2.1927969455718994
DriveDouble,5.285451412200928,2.100027322769165
DriveDouble,5.4744017124176025,1.9010601043701172
DriveDouble,5.699496030807495,2.89778208732605
DriveDouble,5.900312662124634,2.0320775508880615
DriveDouble,5.689495325088501,2.1019558906555176
DriveDouble,7.39507532119751,3.6774487495422363
DriveDouble,4.568578481674194,2.7349772453308105
DriveDouble,5.6974406242370605,2.334209680557251
DriveDouble,5.6428937911987305,2.4163427352905273
DriveDouble,4.603761911392212,2.718883991241455
DriveDouble,6.015611410140991,1.292945384979248
DriveDouble,6.726626634597778,2.4302380084991455
DriveDouble,4.815943956375122,2.8792576789855957
DriveDouble,6.24254846572876,2.7200767993927
DriveDouble,5.933884143829346,1.500035047531128
